Name                                 Publisher                                             Version
CustomScript                         Microsoft.Azure.Extensions                            2.0.1
CustomScript                         Microsoft.Azure.Extensions                            2.0.2
CustomScript                         Microsoft.Azure.Extensions                            2.0.3
CustomScript                         Microsoft.Azure.Extensions                            2.0.4
CustomScript                         Microsoft.Azure.Extensions                            2.0.5
CustomScript                         Microsoft.Azure.Extensions                            2.0.6
CustomScript                         Microsoft.Azure.Extensions                            2.0.7
CustomScript                         Microsoft.Azure.Extensions                            2.1.1
CustomScript                         Microsoft.Azure.Extensions                            2.1.2
CustomScript                         Microsoft.Azure.Extensions                            2.1.3
WindowsHibernateTestExtension        Microsoft.Azure.Extensions.Edp                        1.0.1
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.101
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.103
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.107
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.109
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.111
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.113
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.115
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.117
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.119
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.121
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.123
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.125
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.127
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.129
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.131
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           3.0.135
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           4.0.15
LinuxDiagnostic                      Microsoft.Azure.Diagnostics                           4.0.5
LinuxDiagnostic                      Microsoft.Azure.Diagnostics.Edp                       3.0.128.2
LinuxDiagnostic                      Microsoft.Azure.Diagnostics.Edp                       3.0.129
DockerExtension                      Microsoft.Azure.Extensions                            1.0.1512030601
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1512090359
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1512180541
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1601070410
DockerExtension                      Microsoft.Azure.Extensions                            1.1.1601140348
